role,name
Executive Producer,Frank Pearce
Game Director,Tom Chilton
Production Director,J. Allen Brack
Art Director,Chris Robinson
Technical Director,Mike Elliott
Creative Director,Chris Metzen
Lead Visual Animator,Steve Aguilar
Character Art Manager/Lead Technical Artist,Thomas Blue
Lead City/Dungeon Artist,Wendy Vetter
Lead Environment Artist,Gary Platner
Lead Content Designer,Cory Stockton
Lead Systems Designer,Greg Street
Lead World Designer,Alex Afrasiabi
Lead Encounter Designer,Scott Mercer
Lead Level Designer,Jesse McCree
Lead Exterior Artist,Ely Cannon
Lead World Event Designer,Dave Maldonado
Lead Engine Programmer,Patrick Doane
Lead Gameplay Programmer,Patrick Magruder 
Lead Server Programmer,Alec Dun
Lead Systems Technology Programmer,Collin Murray
Lead Tools Programmer,Monte Krol
Lead UI Programmer,Tom Thompson
City/Dungeon Sub-Lead,Jimmy Lo 
Concept Artist,Mark Gibbons
Special Effects Artist,Slim Ghariani
Macintosh Producer,Brian M. Wright
Technical Writer,Theresa Wolf
Director of Audio,Russell Brower
Sound Supervisor,Jonas Laster
Music Copying and Librarian Services,Robert Puff
Live Sessions and Orchestrations produced by,Edo Guidotti
Vocal Solo,Laurie Ann Haus
Flute Solo,Susan Craig Winsberg
Orchestral Scoring Mixer,John Kurlander
Casting and Voiceover Director,Andrea Toyias
Talent Coordinator,Melanie Hanson
Casting Director,Brigitte Burdine
Casting Associate,Keith Clark
Recording Engineer,John Adair
Casting Director,"Jen Rudin, CSA"
Casting Associate,"Bess Fifer, CSA"
Executive Casting Director,Roger Becker
President/Owner,Maureen Kelly
Supervising Sound Design,Paul Menichini
Cinematic Mixer,Thomas C. Brewer 
Project Director,Marc Messenger
In-Game Project Director,Terran Gregory
Vice President of Cinematics & Media,Matt Samia
Executive Art Director,Nick Carpenter
Supervising Director,Jeff Chamberlain
Project Producer,"Phillip Hillenbrand, Jr."
In-Game Cinematics Senior Department Supervisor,Scott Goffman
In-Game Cinematics Department Supervisor,Shimon Cohen
In-Game Cinematics Department Lead,Mustazar Essa
Studio Engineer Supervisor,Sean Laverty
Production Supervisor,Joeyray Hall
Art,Larissa Bussell
Editor,Jonny Throop
Technical Director,Matthew Versluys
Project Director,Greg Canessa
Lead Artist,Nick Slough
Lead Producer,Jason Chayes
Lead Reliability Engineer,Taner Halicioglu
Technical Writer,Simeon Vincent
Strike Team Lead,Jeffrey Kaplan
Senior Director,Michael Gilmartin
Manager,Jason Walker
Content Research Supervisor,Ashok Viswanathan
Team Lead,Brian Fitzgerald
Senior Producer,Melissa Meyer
Technician,Monica Alba
QA Manager,Mark Moser
Lead QA Analyst,Edgar Flores
QA Automation Lead,Neal Kochhar
Senior Manager,John Herndon
Assistant Manager,Arec Nevers
Assistant Manager,Mark Milan
Team Lead,Jason Kwan
Global Manager,Richard Mark Honeywood
Producer,Joseph Hsu
Localization QA Manager,Shi Yuhong (Yvonne) 
Director,Jeff Donais
Art Director,Glenn Rane
Senior Producer,Sean Dillon
Senior Historian,Evelyn Fredericksen
Editor,Cate Gary
Librarian,Steven Park
Curator and Asset Services Lead,Tim Campbell
Lead Digital Archivist,Roger Howard
Publishing Lead,Micky Neilson
Product Development Lead,Mike Hummel
"Creative Director, Online Services",Mike Hein
Web Technical Director,Ali Vatani
"Director of Web and Online Marketing, Europe",Anne Bérard
Web Team Manager,Yann Pallatier
Web Content Manager,Pierre Rosenthal
Online Sales,Francisco Bolaños Santana
Senior Manager,Hyojin Bae
Lead Web Designer,Thomas Heger
Platform Operation Director,Taewon Yun
Lead Web Designer,Spenser Li
Lead Web Engineer,Ray Xiao
Lead Programmer,Stephen Nees
User Experience ,David Nguyen
Producer,Ryan Gunst
Senior Global Director,Isaac Matarasso
Global Director,Robert Van Dusen
"Senior Manager, Global Network Operations & Engineering",Chris Glover
"Senior Manager, Global Network Operations",Hung Nguyen
Network Operations Project Management Lead,Jorge Baranda
Network Operations Engineering Lead,Dat Nguyen
Network Operations Database Administration Lead,David Squier
Network Operations Implementation Lead,Travis Biegun
Network Operations Administration Lead,Matthew McEligot
Global Information Services Manager,Yong Yoon
Security Manager,Chris Fajardo
"Vice President & Executive Managing Director, International Operations",Michael Ryder
"Managing Director, Europe",Jean-Philippe Agati
"Managing Director, Greater China",Alex Tai
"Managing Director, North Asia",Jungwon Hahn
"Managing Director, Southeast Asia",Jinho Oh
"Managing Director, Taiwan",Wayne Lee
Projects Director,Amy Chen
"Senior Director, Global Market Development",Michael Fong
"Director, Business Operations, China",Nichol Bradford
"Director, Latin American Operations",Steve Huot
"Director, Regional Operations, North Asia",Changuk Park
Director of Taiwan Business Operations,Che-Yuan Wang
Senior Vice President of Global Marketing,Neal Hubbard
Vice President of Global Sales,Bob Brown
Regional Vice President of Marketing,Cédric Maréchal
Vice President of Global Public Relations,Lisa Jensen
"Regional Vice President, Public Relations and Communication",Julia Gastaldi (EU)
Director of Public Relations,Rob Hilburger
Director of Public Relations,Roger Sun (CN)
Director of Public Relations,Christy 'Mina' Um (KR)
"Public Relations & Community Manager of Taiwan, Hong Kong and Macau",Chi Liu
Senior Editorial Manager,Gil Shif
Editorial & Internal Communication Manager,Ross Atherton (EU)
Editor,Sean Molloy
Internal Communications Manager,Kamini Tiwari
"Senior Director, Global Community and E-Sports",Paul Della Bitta
"Director, Global ESPORTS",Jonghyuk Park (KR)
"Director, Global Events",Steven L. Parker
Events Specialist,Laura Halasa
Vice President & General Counsel,Eric Roeder
Deputy General Counsel,Rod Rigole
Product Lead,Kevin Crook
Director of Business Development and Licensing,Delphine Le Corre (EU)
Vice President of Global Human Resources,Denise Dunlap-Alpert
"Senior Manager, Global Organizational Development and Training",Lisa Pearce
"Director, Global Staffing and Recruitment",Leonard Grossi Jr.
Vice President of Global Finance,Mark Almeida
Director of Special Projects,Hamilton Chu
"Project Manager, Global Facilities",Susann O’Bryan
Senior Manager,Henry Szekely
Manager,Marge Kim (KR)
