,insert_order,role,name,aliases,Note
137,422,Outside Voice Casting Assistant,Greg Sacks,,
138,423,Voice Acting,Michael Barken,,
139,424,Voice Acting,Richard Barnes,,
140,425,Voice Acting,Michael Bradberry,,
141,426,Voice Acting,Fredrick Bloggs,,
142,427,Voice Acting,Tracy W. Bush,,
143,428,Voice Acting,Piera Coppola,,
144,429,Voice Acting,Jackson Daniels,,
145,430,Voice Acting,Samwise Didier,,
146,431,Voice Acting,Tami Donner Harrison,,
147,432,Voice Acting,Derek Duke,,
148,433,Voice Acting,Alex Dumas,,
149,434,Voice Acting,Richard George ,,
150,435,Voice Acting,Carrie Gordon Lowrey,,
151,436,Voice Acting,Michael McConnohie,,
152,437,Voice Acting,Michael Gough,,
153,438,Voice Acting,Justin Gross,,
154,439,Voice Acting,Tiffany Hayes,,
155,440,Voice Acting,Thomas Jung,,
156,441,Voice Acting,Matthew King,,
157,442,Voice Acting,Monte Krol,,
158,443,Voice Acting,Abe Lasser,,
159,444,Voice Acting,Rob McNaughton,,
160,445,Voice Acting,Chris Metzen,,
161,446,Voice Acting,Lani Minella,,
162,447,Voice Acting,Calab Moody,,
163,448,Voice Acting,Bob Papenbrook,,
164,449,Voice Acting,Gary Platner,,
165,450,Voice Acting,Bill Roper,,
166,451,Voice Acting,Stuart Rose,,aka Stu Rose
167,452,Voice Acting,Glenn Stafford,,
168,453,Voice Acting,Kai Vilhelmsen,,
169,454,Voice Acting,Ted Whitney,,
170,455,Additional Game Review,Allen Adham,,
171,456,Additional Game Review,Kevin Beardslee,,
172,457,Additional Game Review,Adam Byrne,,
173,458,Additional Game Review,Zach Callanan,,
174,459,Additional Game Review,Jeff Chamberlain,,
175,460,Additional Game Review,Samwise Didier,,
176,461,Additional Game Review,Eric Dodds,,
177,462,Additional Game Review,Bob Fitch,,
178,463,Additional Game Review,Geoff Fraizer,,
179,464,Additional Game Review,Eric Henze,,
180,465,Additional Game Review,Trevor Jacobs,,
181,466,Additional Game Review,Solomon Lee,,
182,467,Additional Game Review,Chris Millar,,
183,468,Additional Game Review,Mike Morhaime,,
184,469,Additional Game Review,Jamie Neveaux,,
185,470,Additional Game Review,Ted Park,,
186,471,Additional Game Review,Chris Sigaty,,
187,472,Additional Game Review,Ian Welke,,
188,473,Additional Game Review,Brain Whittle,,
189,474,Additional Game Review,Beau Yarbrough,,
190,475,Blizzard North Game Review,Chris Arretche,,
191,476,Blizzard North Game Review,Dave Brevik,,
192,477,Blizzard North Game Review,Jeff Gates,,
193,478,Blizzard North Game Review,Matt Householder,,
194,479,Blizzard North Game Review,Steve Librande,,
