Role,Name
Music Copying and Librarian Services,Robert Puff
Live Sessions and Orchestrations produced by,Edo Guidotti
Vocal Solo,Laurie Ann Haus
Flute Solo,Susan Craig Winsberg
Orchestral Scoring Mixer,John Kurlander
Orchestral Sub-Mixes,John Rodd
Orchestral Sub-Mixes,John Kurlander
Casting and Voiceover Director,Andrea Toyias
Talent Coordinator,Melanie Hanson
Los Casting Director,Brigitte Burdine
Casting Associate,Keith Clark
Recording Engineer,John Adair
New Casting Director,Jen Rudin
New Casting Director,CSA
Casting Associate,Bess Fifer
Casting Associate,CSA
Just Executive Casting Director,Roger Becker
President/Owner,Maureen Kelly
Dialogue Recording,David Guerrero - LA Studios
Dialogue Recording,Patrick Christensen - Sound Lounge
Voiceover Design/Editing,Chris De La Pena
Voiceover Design/Editing,Jon Graves
Voiceover Design/Editing,Paul Menichini
Cinematic Supervising Sound Design,Paul Menichini
Sound Design,David Farmer
Sound Design,Tim Nielson
Sound Design,David Whitehead
Cinematic Mixer,Thomas C. Brewer
Audio Producers,Thomas Pieracci
Audio Producers,Dennis Crabtree
Audio Producers,Keith Landes
Audio Producers,Jay Maguire
Additional Production,Colton Carmine
Additional Production,Richard Romasanta
Additional Production,Kyle Webb
Project Director,Marc Messenger
In-Game Project Director,Terran Gregory
Vice President of Cinematics & Media,Matt Samia
Executive Art Director,Nick Carpenter
Supervising Director,Jeff Chamberlain
Lead Producers,Scott Abeyta
Lead Producers,Noel Wolfman
Project Producer,Phillip Hillenbrand
Project Producer,Jr.
Cinematic Art Directors,Jonathan Berube
Cinematic Art Directors,Fausto De Martini
Cinematic Art Directors,Chris Thunig
Cinematic Editors,Joeyray Hall
Cinematic Editors,Brian Horn
Cinematic Editors,Matthew Mead
Senior Department Supervisors,Jared Keller
Senior Department Supervisors,Jon Lanz
Department Supervisors,Steeg Haskell
Department Supervisors,Arthur Jeppe
Department Supervisors,Mike Kelleher
Department Supervisors,Brian LaFrance
Department Supervisors,James McCoy
Department Supervisors,Hezekiah McMurray
Department Supervisors,Fin Teo
Department Supervisors,Seth Thompson
Department Supervisors,Xin Wang
Department Leads,Emmanuel Druckmann
Department Leads,Chung Kan
Department Leads,Reo Prendergast
Department Leads,Sheng Jin
Cinematic Artists,Salvador Arditti
Cinematic Artists,Scott N. Army
Cinematic Artists,Till Aschwanden
Cinematic Artists,Ben Barker
Cinematic Artists,Jason Barlow
Cinematic Artists,Barry Berman
Cinematic Artists,Ricardo Biriba
Cinematic Artists,Ted Boonthanakit
Cinematic Artists,Alvaro Buendia
Cinematic Artists,Vitaly Bulgarov
Cinematic Artists,Bill Campbell
Cinematic Artists,Scott Campbell
Cinematic Artists,Aaron Chan
Cinematic Artists,Hosuk Chang
Cinematic Artists,Steven Chen
Cinematic Artists,Matt Cordner
Cinematic Artists,“Don” Rudy Cortes
Cinematic Artists,Sofia Vale Cruz
Cinematic Artists,Graham Cunningham
Cinematic Artists,Ben Dai
Cinematic Artists,Drew Dobernecker
Cinematic Artists,David Durand
Cinematic Artists,Thomas Siababa Esmeralda
Cinematic Artists,Devon Fay
Cinematic Artists,Joe Frayne
Cinematic Artists,Hunter Grant
Cinematic Artists,Eric Grimenstein
Cinematic Artists,Mike Hardison
Cinematic Artists,Jason J. Hill
Cinematic Artists,Benjamin Min Huang
Cinematic Artists,Brian Huang
Cinematic Artists,Steve Hui
Cinematic Artists,Tyler Hunter
Cinematic Artists,Joe Jackman
Cinematic Artists,Jim Jiang
Cinematic Artists,Jeramiah Johnson
Cinematic Artists,Bernie Kang
Cinematic Artists,Ren Kikuchi
Cinematic Artists,"Yunghyun ""Eddie"" Kim"
Cinematic Artists,Ronny Kim
Cinematic Artists,Mike Koizumi
Cinematic Artists,Bill La Barge
Cinematic Artists,Mark Lai
Cinematic Artists,Scott Lange
Cinematic Artists,Hung Le
Cinematic Artists,Hoya Lee
Cinematic Artists,David Lesperance
Cinematic Artists,Shawn Liang
Cinematic Artists,Dyllan Lu
Cinematic Artists,David Luong
Cinematic Artists,Andrew Melnychuk-Oseen
Cinematic Artists,Sada Namiki
Cinematic Artists,Jeremy Nelligan
Cinematic Artists,Tuan Ngo
Cinematic Artists,"Levente ""Levi"" Peterffy"
Cinematic Artists,Jamie Pilgrim
Cinematic Artists,Dennis Price
Cinematic Artists,Glenn Ramos
Cinematic Artists,Jarett Riva
Cinematic Artists,Davy Sabbe
Cinematic Artists,Billy Shih
Cinematic Artists,Kazuhito Shimada
Cinematic Artists,Richard Slechta
