Role,Name
Shared Technology Programmers,Nicolas Noble
Systems Technology Programmers,Adam Batters
Systems Technology Programmers,Ryan Hanlon
Systems Technology Programmers,Giray Özil
Tools Programmers,Brian Birmingham
Tools Programmers,Ian Combs
Tools Programmers,Steven Dwyer
Tools Programmers,Pete Sandrene
Tools Programmers,Craig Steele
Tools Programmers,John Stiles
Tools Programmers,Quang Tran
Tools Programmers,Tim Yanalunas
UI Designers,Matt Golins
UI Designers,Jeff Liu
UI Programmers,Ken Cheung
UI Programmers,Robert Lin
UI Programmers,Serban Oprescu
UI Programmers,Jacob Segal
UI Programmers,Michael Tindal
Technical Writer,Jeremy Seely
Business Operations,Jonathan Bankard
Business Operations,Hamilton Chu
Business Operations,Walter Kong
Business Operations,Jason Stilwell
Warlords of Draenor Key Art,Alex Horley
Additional Artists,Devin Busha
Additional Artists,Mai Igarashi
Additional Artists,Kyoungche Kim
Additional Artists,Servando Lupini
Additional Artists,Chad Max
Additional Designers,Dylan Barker
Additional Designers,Matt Brown
Additional Designers,Bret Cocking
Additional Designers,Jonathan Dumont
Additional Designers,David Maldonado
Additional Designers,Ryan Meier
Additional Designers,Scott Mercer
Additional Designers,Erika Page
Additional Designers,Rob Pardo
Additional Designers,Jessica Rogers
Additional Designers,Greg Street
Additional Designers,Sean White
Additional Designers,Jay Wilson
Additional Producers,Matthew Hawley
Additional Producers,Scott Keenan
Additional Programmers,Dusty Bishop
Additional Programmers,Erin Catto
Additional Programmers,Alec Dun
Additional Programmers,Carl Glave
Additional Programmers,Alexey Medvedev
Additional Programmers,Bea Metitiri
Additional Programmers,Tomas Neumann
Additional Programmers,Kyle Radue
Additional Programmers,Oliver Smith
Additional Programmers,Dan Wellman
Human Resources Manager,Shirelle McFadden
Team Administrator,Steven Dowling
Interns,Kuko Cai
Interns,Sukjoo Choi
Interns,Peter Guo
Interns,Evan Lee
Interns,Chris Morris
Interns,Jay Nam
Interns,Elliot Picarello
Interns,Ben Slupik
Interns,Noah Strangio
Interns,Matt Wyble
Interns,Phillip Zhang
Macintosh Team Lead,John Mikros
Macintosh Producer,Matthew Sherman
Macintosh Programmers,Chris Crowe
Macintosh Programmers,David Givone
Macintosh Programmers,Daniel Pageau
Macintosh Programmers,Scott Scaccianoce
Macintosh Programmers,James Touton
Strike Team Lead,Jeffrey Kaplan
Strike Team,Nathan Bowden
Strike Team,Jeffrey Brill
Strike Team,Andy Brock
Strike Team,Dustin Browder
Strike Team,Phill Gonzales
Strike Team,John Hight
Strike Team,Michael Leger
Strike Team,Nathan Lutsock
Warlords is for our friend,Ron Nakada
BATTLE.NET Vice President of Battle.net,Robert Bridenbecker
Design Director,Mike Hein
Production Director,Dan Elggren
Technical Directors,Brian Fitzgerald
Technical Directors,Ali Vatani
Technical Directors,Matthew Versluys
Lead Designers,Jon DeMidio
Lead Designers,Vincent Francoeur
Lead Engineers,Chulwoong Choi
Lead Engineers,Ben Deane
Lead Engineers,Ben Earhart
Lead Engineers,David Eckel
Lead Engineers,Patrick Eger
Lead Engineers,Nir Finkelstein
Lead Engineers,James Hugard
Lead Engineers,Damon Osgood
Lead Engineers,Bill Randolph
Lead Engineers,Kyle Riccio
Lead Engineers,Tyler Thompson
Lead Engineers,John Yaney
Lead Producer,Melissa Meyer
Web Services Managers,Sangeon Bae
Web Services Managers,Yann Pallatier
Designers,Sam Attanasio
Designers,Hawke Bassignani
Designers,Wei Chen
Designers,Guillaume Cournoyer
Designers,Chris Darin
Designers,Harlan Elam
Designers,Thomas Heger
Designers,Janelle Hitz
Designers,Katherine Joplin
Designers,Seonghak Jung
Designers,Dohyeong Kim
Designers,Michael Metcalf
Designers,Bre Miller
Designers,Juyoung Oh
Designers,Celeste Pang
Designers,Zac Pfaff
Designers,Keith Rhee
Designers,Benjamin Scanlon
Designers,Angela Shih
Designers,Bao Tran
Designers,Jaeson Welch
Designers,Mike Yaklin
User Researchers,Hyojin Bae
User Researchers,Morgan Bellouguet
User Researchers,Dan Jenrette
User Researchers,Daniel Kutz
User Researchers,Joost Loijens
User Researchers,Ming Xia
Engineering Managers,John Bennett
Engineering Managers,Paul Foster
Engineering Managers,Josh Gunder
Engineering Managers,Mike Hufnagel
Engineering Managers,Tom Kent
Engineering Managers,Kevin Newsom
Engineering Managers,Phillip Saindon
Engineers,Tae Hyoung Ahn
Engineers,David Balogh
Engineers,Cord Bartlett
Engineers,Woonchang Beck
Engineers,Andrew Bellinger
Engineers,Ed Beranek
Engineers,Ted Bigham
Engineers,Dylan Binder
Engineers,Todd Blank
Engineers,Laurent Bourcier
Engineers,David Brandt
Engineers,Carl Brumm
Engineers,Brett Buerhaus
Engineers,James Burroughs
Engineers,Alex Cardenas
Engineers,Sean Catchpole
Engineers,Mark Chandler
Engineers,Megan Chang
Engineers,Qi Ming Chen
Engineers,Heemahn Choe
Engineers,Mikyoung Choi
Engineers,Seungki Choi
Engineers,Phil Clay
Engineers,Diane Cochran
Engineers,Steve Cochrane
Engineers,Sean Covey
Engineers,Ryan Creasey
Engineers,Iain Davies
Engineers,Sascha Demetrio
Engineers,Sarah Doebler
Engineers,Joe Doran
Engineers,Brian Doyle
Engineers,Peter R. Elespuru
Engineers,Chad Engler
Engineers,Ari Epstein
Engineers,William Eyler
Engineers,Jason Fillo
Engineers,Bryan Frederick
Engineers,Christopher Giroir
Engineers,Russell Glasser
Engineers,Victor Gonzalez
Engineers,Jr.
Engineers,Paul Grock
Engineers,Kwangbum Ha
Engineers,Greg Haase
Engineers,Jason Thor Hall
Engineers,Mike Haugland
Engineers,Beomki Hong
Engineers,Alex Ivlev
Engineers,Kay Ju
Engineers,Jake Jung
Engineers,Wonhee Jung
Engineers,Andrew Kane
Engineers,Chang-Il Kim
Engineers,Dennis Kim
Engineers,Neal Kochhar
Engineers,Juno Kwak
Engineers,Jay Lauffer
Engineers,Drew Lawton
Engineers,Daesup Lee
Engineers,Eunyang Lee
Engineers,Frederick Dayhee Lee
Engineers,Hyungjic Lee
Engineers,Junyoung Lee
Engineers,Youngsik Lee
Engineers,Ockkyoung Leem
Engineers,Spenser Li
Engineers,Raymond Lo
Engineers,Rusty Lopez
Engineers,Michael C. Maggio
Engineers,Pavel Maisenovich
Engineers,Tsutomu Martin
Engineers,John Matzen
Engineers,John McCormick
Engineers,Mike McWilliams
Engineers,Alex Melnik
Engineers,Robert Meyer
Engineers,Calum Mitchell
Engineers,Kyle Monroe
Engineers,Jason Morales
Engineers,Andrew Murphy
Engineers,Chris Myles
Engineers,Alex Nakorn
Engineers,Eric Nelson
Engineers,Alan Newton
Engineers,Anthony Nichols
Engineers,Eli Ofenstein
Engineers,Magnus Osterlind
Engineers,Joonho Park
Engineers,Nochul Park
Engineers,Sangyong Park
Engineers,Sungun Park
Engineers,Adam Passey
Engineers,Karl Alex Pauls
Engineers,Nick Pennock
Engineers,Jeffrey Pyacek
Engineers,Alex Ramos
Engineers,Stephen Raub
Engineers,Oscar Reyes
Engineers,Ian Richardson
Engineers,Blake Robbins
Engineers,Ian Roberts
Engineers,Paul Roberts
Engineers,Todd Rowe
Engineers,Taylor Russ
Engineers,Joshua Ryan Sanders
Engineers,Ragnar Scheuermann
Engineers,David Schless
Engineers,Matthew Schnee
Engineers,Vlad Semenov
Engineers,Hwachul Shin
Engineers,Nicholas Soltau
Engineers,James Minyong Song
Engineers,Joe Souto
Engineers,Fanny Suh
Engineers,Havi Sullivan
Engineers,Anselmo Talotta
Engineers,Christophe Thibault
Engineers,Andrew Tio
Engineers,Andy Tran
Engineers,Brandon Treadway
Engineers,Eric Turley
Engineers,Todd Underwood
Engineers,Aron Vietti
Engineers,Simeon Vincent
Engineers,Daniel Weiner
Engineers,Daniel Weltz
Engineers,Stephen Whiting
Engineers,Albert Wong
Engineers,Eric Wong
Engineers,Nick Wong
Engineers,Andrew Yang
Engineers,Youngwook Yang
Engineers,Casey Yelland
Engineers,Christopher Yu
Producers,Shane Cargilo
Producers,Callie Carrington
Producers,Eric Carter
Producers,Kevin Carter
Producers,Kayla Crooks
Producers,Damien Currano
Producers,Romain Dijoux
Producers,Clayton Dubin
Producers,Ofer Estline
Producers,Michael Fetterman
Producers,Sean Flinn
Producers,Joseph Floro
Producers,Olivier Fourel
Producers,Sean Gibson
Producers,Steven Glover
Producers,Marshall Harlan
Producers,Dan Hernberg
Producers,Royce Higbee
Producers,Douglas Hill
Producers,Andrew Hunt
Producers,Ty Julian
Producers,Lance Kimberlin
Producers,Jenny C. Liu
Producers,David Loya
Producers,Sunyoung Loya
Producers,Dan Maas
Producers,Jill Macfarland
Producers,Rainer Mayer
Producers,Rebecca Orozco
Producers,Stephanie Paddock
Producers,Maria Page
Producers,Russell Pippin
Producers,Shah Rahman
Producers,Derek Rakos
Producers,James Reilman
Producers,Christian Reynolds
Producers,Monica Alba Sandoval
Producers,Michael See
Producers,Ian Shepherd
Producers,Martin Tegner
Project Managers,Hae Beauguerlange
Project Managers,Jeremy Dela Rosa
Project Managers,Oliver Kurth
Knowledge Manager,Sabina Horigan
Web Editors,Eddy Béchu
Web Editors,Thibaud Bertin
Web Editors,Aaron Boulding
Web Editors,Roberto Crispo
Web Editors,João S. de Araujo Neto
Web Editors,Grzegorz Ferenc
Web Editors,Carlos Fernández Plaza
Web Editors,Geoff Fraizer
Web Editors,Maria Gut
Web Editors,Jieun Kim
Web Editors,Irina Kneller
Web Editors,Edward Lee
Web Editors,Seungbok Lee
Web Editors,Martin Leidenfrost
Web Editors,Oliver Lübeck
Web Editors,Patricio Mekong Talavera
Web Editors,Ryan Quinn
Web Editors,Pierre Rosenthal
Web Editors,Jaime Scheffler
Web Editors,Joseph Toaff
Web Editors,Gustavo Waehneldt
Web Editors,Kristin Wood
Web Editors,Alena Yakavets
Web Engineers,Ajin Kim
Web Engineers,Jungeun Lee
Web Engineers,Dooyong Oh
Web Engineers,One Yoon
Web Designers,Rémi Bismuth
Web Designers,Hyunsuk Cheong
Web Designers,Quentin Devauchelle
Web Designers,Sheldon Els
Web Designers,Antoine Ferré
Web Designers,Sangwook Kim
Web Designers,Prune Moldawan
Web Designers,Alix Nguyen
Web Designers,Pablo Toledo Baeza
Web Producers,Sunghwan Kang
Web Producers,Min Yang
Web Service Designer,Eunjin Nam
Additional Engineers,Peter Diaz
Additional Engineers,Allan Ditzel
Additional Producer,Matt Gilliland
Interns,Anthony Brunasso
Interns,Andrew De Jesus
Interns,Stefan Gawrys
Interns,Ryan Hessen
Interns,Ryan Kast
Interns,Louis-Jérôme Léger
Interns,Travis Smith
Interns,Geoffrey Tucker
Interns,Kevin Viglucci
Interns,Tim Wang
Interns,Megan Wooley
CINEMATICS Project Director,Marc Messenger
In-Game Project Director,Terran Gregory
Project Art Director,Chris Thunig
Project CG Supervisor,Mike Kelleher
Senior Project Producer,Taka Yasuda
Senior Project Story Producer,Phillip Hillenbrand Jr.
In-Game Project Producer,Kim Kotfis Horn
Senior Vice President of The Forge,Michael Ryder
Vice President of Art & Cinematic Development,Nicholas S. Carpenter
VFX Supervisor,Jeff Chamberlain
Senior Project Manager,Joeyray Hall
Production Director,Noel Wolfman
Director of Technology,Mark A. Brown
Cinematics Lead Editor,Brian Horn
In-Game Cinematics Editor,Lars Jensvold
Cinematics Assistant Editor,Rebecca Lilienfeld
Department Supervisors,John Burnett
Department Supervisors,Laurent Charbonnel
Department Supervisors,Steven Chen
Department Supervisors,Dan Cox
Department Supervisors,Scott Goffman
Department Supervisors,Steeg Haskell
Department Supervisors,Jared Keller
Department Supervisors,James Mccoy
Department Supervisors,David J. Stephens
Department Supervisors,Seth Thompson
Department Supervisors,Xin Wang
Project Leads,Ricardo Biriba
Project Leads,Tom Craigen Jr.
Project Leads,Joe Frayne
Project Leads,Hunter Grant
Project Leads,Sheng Jin
Project Leads,Shawn Liang
Project Leads,Laurent Pierlot
Project Leads,Jamie Pilgrim
Project Leads,Wey Wong
Project Leads,Kenson Yu
Department Leads,Ted Burge
Department Leads,Steven S. Shapiro
Department Leads,Billy Shih
Department Leads,Peter Shinners
Associate Project Producer,Eric Kieron Davis
Cinematic Artists,Samuel Alicea
Cinematic Artists,Jongha Baik
Cinematic Artists,Becca Baldwin
Cinematic Artists,Nathan Boyd
Cinematic Artists,Toni Bratincevic
Cinematic Artists,Alvaro Buendia
Cinematic Artists,Aaron Chan
Cinematic Artists,Ray Chih
Cinematic Artists,Matt Cordner
Cinematic Artists,James Crowson
Cinematic Artists,Graham Cunningham
Cinematic Artists,Drew Dobernecker
Cinematic Artists,Anthony Eftekhari
Cinematic Artists,Mustazar Essa
Cinematic Artists,Chris Evans
Cinematic Artists,Shuntaro Furukawa
Cinematic Artists,Eric Grimenstein
Cinematic Artists,Jeremy Gritton
Cinematic Artists,Steven Guevara
Cinematic Artists,Mike Hardison
Cinematic Artists,Craig Harris
Cinematic Artists,Jason J. Hill
Cinematic Artists,Ray Hsu
Cinematic Artists,Jason Huang
Cinematic Artists,Dwight Hwang
Cinematic Artists,Yong-Ha Hwang
Cinematic Artists,Joe Jackman
Cinematic Artists,Jim Jiang
Cinematic Artists,Jeramiah Johnson
Cinematic Artists,Jessica Johnson
Cinematic Artists,Chung Kan
Cinematic Artists,Robin Khamsi
Cinematic Artists,Ren Kikuchi
Cinematic Artists,Eddie Yonghyun Kim
Cinematic Artists,Bill La Barge
Cinematic Artists,Mark Lai
Cinematic Artists,Scott Lange
Cinematic Artists,Hung Le
Cinematic Artists,John Lee
Cinematic Artists,Moonsung Lee
Cinematic Artists,Vincent Lee
Cinematic Artists,Yeon-Ho Lee
Cinematic Artists,Tianshu Liu
Cinematic Artists,David Luong
Cinematic Artists,James Maloney
Cinematic Artists,Brett McConnell
Cinematic Artists,Casey McDermott
Cinematic Artists,Matthew Mead
Cinematic Artists,Andrew Melnychuk-Oseen
Cinematic Artists,Sada Namiki
Cinematic Artists,Adrian Niu
Cinematic Artists,Sherman Ohms
Cinematic Artists,Kurtis Paddock
Cinematic Artists,Andrew Paules
Cinematic Artists,Trevor Payne
Cinematic Artists,Corey Pelton
Cinematic Artists,Kirti Pillai
Cinematic Artists,Zachary Podratz
Cinematic Artists,Dominic Qwek
Cinematic Artists,Glenn Ramos
Cinematic Artists,Davy Sabbe
Cinematic Artists,Michael Sandrik
Cinematic Artists,Kaz Shimada
Cinematic Artists,Douglas Smith
Cinematic Artists,Karen Soh
Cinematic Artists,Fabio Stabel
Cinematic Artists,Peter Starostin
Cinematic Artists,Jonathan Styles
Cinematic Artists,Takuya Suzuki
Cinematic Artists,Geordie Swainbank
Cinematic Artists,Don Ta
Cinematic Artists,Jon Teer
Cinematic Artists,Brandan Vanderpool
Cinematic Artists,Nelson Wang
Cinematic Artists,Wei Wang
Cinematic Artists,Chris Yang
Cinematic Artists,Boyang Zhu
Cinematic Artists,Fabio Barretta Zungrone
Technology Team,Chris Allen
Technology Team,Kenneth Lloyd Ayers III
Technology Team,Zachary Bauer
Technology Team,Michael Beal
Technology Team,Judson Bumpas
Technology Team,Christopher Burel
Technology Team,Rudy Cortes
Technology Team,Ben Deda
Technology Team,Frank Du
Technology Team,Michael Eizenberg
