Role,Name
Interns,Johnny Cash
Interns,Jessica Dinh
Interns,Marie Lazar
Interns,Peter K. Lee
Strike Team Lead,Kevin Martens
Strike Team,Chris Amaral
Strike Team,Jason Boyle
Strike Team,Juan Custer
Strike Team,Shon Damron
Strike Team,Brian Gidge
Strike Team,Matt Gotcher
Strike Team,Matthew Hawley
Strike Team,Jesse McCree
Strike Team,Vitaliy Naymushin
Strike Team,Stephanie Paddock
Strike Team,Stephen Wong
Strike Team,Jay Wilson
"Vice President, Battle.net",Robert Bridenbecker
Design Director,Mike Hein
Production Director,Dan Elggren
Technical Directors,Brian Fitzgerald
Technical Directors,Ali Vatani
Technical Directors,Matthew Versluys
Lead Designers,Jon DeMidio
Lead Designers,Vincent Francoeur
Lead Engineers,Chulwoong Choi
Lead Engineers,Ben Deane
Lead Engineers,Patrick Eger
Lead Engineers,Steve McGarrity
Lead Engineers,JC Park
Lead Engineers,Kyle Riccio
Lead Engineers,Christopher Stewart
Lead Engineers,John Yaney
Lead Producers,Dave Chan
Lead Producers,Ryan Cooper
Lead Producers,Melissa Meyer
Designers,Sam Attanasio
Designers,Wei Chen
Designers,Guillaume Cournoyer
Designers,Christopher Deutsch
Designers,Randal Dumoret
Designers,Bryan Gidge
Designers,Thomas Heger
Designers,Katherine Joplin
Designers,Seonghak Jung
Designers,Dohyeong Kim
Designers,Junho Kim
Designers,Bobby Koh
Designers,Rene Koiter
Designers,Jeff Liu
Designers,Bre Miller
Designers,Juyoung Oh
Designers,Ryan Pearson
Designers,Zac Pfaff
Designers,Bryan Rathman
Designers,Keith Rhee
Designers,Angela Shih
Designers,Bao Tran
Designers,Jaeson Welch
Designers,Christina Womack
User Researchers,Hyojin Bae
User Researchers,Dan Jenrette
User Researchers,Ming Xia
Engineering Manager,Paul Haban
Engineers,Monica Alba
Engineers,Cord Bartlett
Engineers,Woonchang Beck
Engineers,Andrew Bellinger
Engineers,Ed Beranek
Engineers,Todd Blank
Engineers,Ilya Bobyr
Engineers,Laurent Bourcier
Engineers,D. Scott Boyce
Engineers,Mikyoung Choi
Engineers,Seungki Choi
Engineers,Diane Cochran
Engineers,Ryan Creasey
Engineers,Joel Deaguero
Engineers,Joseph Dean
Engineers,Sascha Demetrio
Engineers,Evangelia Dendramis
Engineers,Sarah Doebler
Engineers,David Eckel
Engineers,Steven Gabriel
Engineers,Nick Gerakines
Engineers,Gisang Gil
Engineers,Christopher Giroir
Engineers,Victor Gonzalez Jr.
Engineers,Don Grey
Engineers,Kwangbum Ha
Engineers,Chris Jacobson
Engineers,Wonhee Jung
Engineers,Chang-Il Kim
Engineers,Dennis Kim
Engineers,Neal Kochhar
Engineers,Juno Kwak
Engineers,Ken Lamb
Engineers,Jay Lauffer
Engineers,Drew Lawton
Engineers,Eunyang Lee
Engineers,Fred Lee
Engineers,Juho Lee
Engineers,Youngsik Lee
Engineers,Ockkyoung Leem
Engineers,Spenser Li
Engineers,Robert Lin
Engineers,Terence Lindsey
Engineers,Jason MacAllister
Engineers,Pavel Maisenovich
Engineers,Nick McVeity
Engineers,Qi Ming
Engineers,Keith Miron
Engineers,Calum Mitchell
Engineers,Robert Moodey
Engineers,Chris Myles
Engineers,Alan Newton
Engineers,Anthony Nichols
Engineers,Joonho Park
Engineers,Sangyong Park
Engineers,Stephen Raub
Engineers,Ricardo Robaina
Engineers,Ian Roberts
Engineers,Vlad Semenov
Engineers,Tony Shih
Engineers,Hwachul Shin
Engineers,Michael Skacal
Engineers,Michael Stum
Engineers,Fanny Suh
Engineers,Anselmo Talotta
Engineers,Alex Tearse-Doyle
Engineers,Steve Toscano
Engineers,Andy Tran
Engineers,Tom Van
Engineers,Daniel Weltz
Engineers,Stephen Whiting
Engineers,Ray Xiao
Engineers,Casey Yelland
Engineers,Christopher Yim
Engineers,Christopher Yu
Producers,Erin Ali
Producers,Sangeon Bae
Producers,Shane Cargilo
Producers,Kevin Carter
Producers,Bryan Chang
Producers,Dennis Crow
Producers,Damien Currano
Producers,Eric Del Priore
Producers,Jeremy Dela Rosa
Producers,Romain Dijoux
Producers,Sean Flinn
Producers,Dan Hernberg
Producers,Andrew Hunt
Producers,Ty Julian
Producers,Sunyoung Kim
Producers,Ben Lam
Producers,Jenny C.Liu
Producers,Dan Maas
Producers,Rainer Mayer
Producers,Rebecca Orozco
Producers,Stephanie Paddock
Producers,Maria Page
Producers,Russell Pippin
Producers,Yong Woo
Technical Writers,Sabina Horigan
Technical Writers,Simeon Vincent
Web Editors,Geoff Fraizer
Web Editors,Eddie Lee
Web Editors,Martin Leidenfrost
Web Editors,Otavio Lessa
Web Editors,Ryan Quinn
Web Editors,Jaime Scheffler
Interns,Justin Britch
Interns,Kevin Gent
Interns,Daniel Kutz
Interns,Zak Rubin
Interns,Alex Wong
Regional Manager,Yann Pallatier
Project Managers,Nathalie Beauguerlange
Project Managers,Olivier Fourel
Project Managers,Oliver Kurth
Web Designers,Sören Geier
Web Designers,Mathieu Magrez
Web Designers,Prune Moldawan
Web Designers,Alix Nguyen
Web Editors,Eddy Béchu
Web Editors,Thibaud Bertin
Web Editors,Roberto Crispo
Web Editors,Irina Kneller
Web Editors,Maria Loy
Web Editors,Oliver Lübeck
Web Editors,Patricio Mekong Talavera
Web Editors,Carlos Fernández Plaza
Web Editors,Pierre Rosenthal
Web Editors,Joseph Toaff
Web Editors,Alena Yakavets
Web Editors,Tomasz Zabczynski
Special Thanks,Pablo Toledo Baeza
Battle.net Web Producers,Dayeong Oh
Battle.net Web Producers,Minhyouk Pack
Battle.net Web Producers,Min Yang
Web Engineers,Ajin Kim
Web Engineers,Jungeun Lee
Web Engineers,Dooyong Oh
Web Engineers,One Yoon
Web Designers,Hyunsuk Cheong
Web Designers,Sangwook Kim
Web Service Designer,Eunjin Nam
Web Editors,Ayoung Kim
Web Editors,Jieun Kim
Battle.net Senior Web Services Manager,Bee Ai Chua
Web Producer,Tang Yanfeng
Web Engineers,Huang Xiaoqiang
Web Engineers,Yang Yanping
Web Engineers,Yu Yaodong
Web Designers,Andy Jin
Web Designers,Wang Wei
Web Content Editors,Chu Ching
Web Content Editors,Jay Zhang
Project Director,Marc Messenger
In-Game Project Director,Terran Gregory
Project Art Directors,Chris Thunig
Project Art Directors,Fausto De Martini
Sr. Project Producer,Phillip Hillenbrand
Sr. Project Producer,Jr.
Cinematic Script,Marc Messenger
Cinematic Script,Chris Metzen
"Vice President, Art & Cinematic Development",Nick Carpenter
"Vice President, Cinematic Operations",Mike Ryder
VFX Supervisor,Jeff Chamberlain
Production Director,Noel Wolfman
Director of Technology,Mark A. Brown
Lead Producer,Scott Abeyta
Project Producer,Kim Kotfis Horn
Project Editors,Brian Horn
Project Editors,Rebecca Lilienfeld
Department Supervisors,John Burnett
Department Supervisors,Shimon Cohen
Department Supervisors,Scott Goffman
Department Supervisors,Steeg Haskell
Department Supervisors,Arthur Jeppe
Department Supervisors,Mike Kelleher
Department Supervisors,Jared Keller
Department Supervisors,Brian LaFrance
Department Supervisors,James McCoy
Department Supervisors,Fin Teo
Department Supervisors,Seth Thompson
Department Supervisors,Xin Wang
Project Leads,Vitaly Bulgarov
Project Leads,Aaron Chan
Project Leads,Steven Chen
Project Leads,Emanuel Druckmann
Project Leads,Devon Fay
Project Leads,Joe Frayne
Project Leads,Chung Kan
Project Leads,Ryan Leasher
Project Leads,Laurent Pierlot
Project Leads,Jamie Pilgrim
Project Leads,Dennis Price
Cinematic Artists,Salvador Arditti
Cinematic Artists,Scott N. Army
Cinematic Artists,Till Aschwanden
Cinematic Artists,Jongha Baik
Cinematic Artists,Becca Baldwin
Cinematic Artists,Ben Barker
Cinematic Artists,Jason Barlow
Cinematic Artists,Stephane Belin
Cinematic Artists,Barry Berman
Cinematic Artists,John Berry
Cinematic Artists,Ricardo Biriba
Cinematic Artists,Ted Boonthanakit
Cinematic Artists,Toni Bratincevic
Cinematic Artists,Alvaro Buendia
Cinematic Artists,Jason Burton
Cinematic Artists,Bill Campbell
Cinematic Artists,Scott Campbell
Cinematic Artists,Hosuk Chang
Cinematic Artists,Daniel Chavez
Cinematic Artists,Ray Chih
Cinematic Artists,Tae Young Choi
Cinematic Artists,Joanna Cleland-Jolly
Cinematic Artists,Matt Cordner
Cinematic Artists,James Crowson
Cinematic Artists,Graham Cunningham
Cinematic Artists,Drew Dobernecker
Cinematic Artists,David Durand
Cinematic Artists,Anthony Eftekhari
Cinematic Artists,Mustazar Essa
Cinematic Artists,Chris Evans
Cinematic Artists,Casey Fulton
Cinematic Artists,Shuntaro Furukawa
Cinematic Artists,Hunter Grant
Cinematic Artists,Eric Grimenstein
Cinematic Artists,Jeremy Gritton
Cinematic Artists,Chris Ha
Cinematic Artists,Mike Hardison
Cinematic Artists,Jason J. Hill
Cinematic Artists,Benjamin Min Huang
Cinematic Artists,Steve Hui
Cinematic Artists,Ray Hsu
Cinematic Artists,Rodney Iwashina
Cinematic Artists,Joe Jackman
Cinematic Artists,Jim Jiang
Cinematic Artists,Sheng Jin
Cinematic Artists,Jeramiah Johnson
Cinematic Artists,Jessica Dru Johnson
Cinematic Artists,Ren Kikuchi
Cinematic Artists,Yonghyun (Eddie) Kim
Cinematic Artists,Andy C. King
Cinematic Artists,Mike Koizumi
Cinematic Artists,Bill La Barge
Cinematic Artists,Mark Lai
Cinematic Artists,Scott Lange
Cinematic Artists,Jon Lanz
Cinematic Artists,Hung Le
Cinematic Artists,Alan Lee
Cinematic Artists,Hoya Lee
Cinematic Artists,John F. Lee
Cinematic Artists,Moonsung Lee
Cinematic Artists,Yeon-Ho Lee
Cinematic Artists,Shawn Liang
