Role,Name
Cinematic Intro Director,Jeff Chamberlain
Cinematics Executive Producer,Matt Samia
Cinematics Creative Director,Nick Carpenter
Cinematics Producers,Scott Abeyta
Cinematics Producers,Taka Yasuda
Cinematics Producers,Angela Young
Cinematic Writers,Jeff Chamberlain
Cinematic Writers,Chris Metzen
Cinematic Writers,Matt Samia
Cinematic Editor,Matthew Mead
Lead Cinematic Animator,James McCoy
Lead Cinematic Finisher,Jeff Chamberlain
Lead Cinematic Modeler,Fausto De Martini
Lead Cinematic Technical Artist,Jared Keller
Cinematic Artists,Jonathan Berube
Cinematic Artists,Aaron Chan
Cinematic Artists,Ben Dai
Cinematic Artists,Joe Frayne
Cinematic Artists,Hunter Grant
Cinematic Artists,Jason Hill
Cinematic Artists,Brian Huang
Cinematic Artists,Tyler Hunter
Cinematic Artists,Sheng Jin
Cinematic Artists,Jeramiah Johnson
Cinematic Artists,Chung Kan
Cinematic Artists,Bernie Kang
Cinematic Artists,Ronny Kim
Cinematic Artists,Yonghyun Kim
Cinematic Artists,Mark Lai
Cinematic Artists,Jon Lanz
Cinematic Artists,Ting Lo
Cinematic Artists,Matthew Mead
Cinematic Artists,Tuan Ngo
Cinematic Artists,Reo Andrew Prendergast
Cinematic Artists,Dennis Price
Cinematic Artists,Jarett Riva
Cinematic Artists,Chris Rock
Cinematic Artists,Seth Thompson
Cinematic Artists,Chris Thunig
Cinematic Artists,Graven Tung
Cinematic Artists,Xin Wang
Cinematic Artists,Kenson Yu
Cinematic Technical Artists,Scott Goffman
Cinematic Technical Artists,Steeg Haskell
Cinematic Technical Artists,Sean Laverty
Cinematic Technical Artists,Hung Le
Cinematic Technical Artists,Wei Qiao
Cinematic Technical Artists,Eric A. Soulvie
Cinematic Technical Artists,Nelson Wang
Cinematic Studio Technical Engineers,Mike Kramer
Cinematic Studio Technical Engineers,Sean Laverty
Additional Matte Painting,Alp Altiner
Additional Matte Painting,Dylan Cole
Additional Cinematic Artists,John Burnett
Additional Cinematic Artists,Harley Huggins
