Role,Name
Systems Technology Programmers,Ryan Hanlon
Systems Technology Programmers,Scott Stanfield
Systems Technology Programmers,R. Blaine Whittle
Tools Team,Ian Combs
Tools Team,Christopher Beau Cooper
Tools Team,Steven Dwyer
Tools Team,Chris Gearhart
Tools Team,Jason Johannes
Tools Team,Daniel Pageau
Tools Team,John Stiles
Tools Team,Jaeson Welch
UI Designers,Jeff Liu
UI Designers,Ray Ocampo
UI Designers,Laura Sardinha Kidde
UI Programmers,Nathan Bonfiglio
UI Programmers,Andrew Churchill
UI Programmers,Aubrie Healy
UI Programmers,John Mikros
UI Programmers,Serban Oprescu
UI Programmers,Ben Slupik
UI Programmers,Michael Tindal
UI Programmers,Dan Wellman
Additional Programming,Zoid Kirsch
Additional Programming,David Lawrence
Additional Programming,Kevin Vigue
PRODUCTION Game Producers,Michael Bybee
PRODUCTION Game Producers,Rhonda Cox
PRODUCTION Game Producers,Travis Day
PRODUCTION Game Producers,Zack Donovan
PRODUCTION Game Producers,Shani Edwards
PRODUCTION Game Producers,Tom Ellis
PRODUCTION Game Producers,Ofer Estline
PRODUCTION Game Producers,Rudy Koch
PRODUCTION Game Producers,Marcus Maczynski
PRODUCTION Game Producers,Jay Maguire
PRODUCTION Game Producers,Calia Schie
PRODUCTION Game Producers,Ryan Schwind
PRODUCTION Game Producers,John Shin
PRODUCTION Game Producers,Jason Stilwell
PRODUCTION Game Producers,Eric Thibeau
PRODUCTION Game Producers,Terri Wellman
PRODUCTION Game Producers,Gayeong Yoo
Localization Producers,Diego Javier Díaz Gutiérrez
Localization Producers,Dominik Hothow
SOUND DESIGN,Shawn Bernardo
SOUND DESIGN,Aaron Craft
SOUND DESIGN,Jon Graves
SOUND DESIGN,Michael Hill
SOUND DESIGN,Andrew Holscher
SOUND DESIGN,Lawrence Peacock
BUSINESS OPERATIONS,Rainer Mayer
BUSINESS OPERATIONS,Marie Peters
ADMINISTRATIVE SUPPORT,Rebecca Carmine
ADMINISTRATIVE SUPPORT,Steven Dowling Jr
HUMAN RESOURCES,Rosie Hitzeman
HUMAN RESOURCES,Shirelle McFadden
HUMAN RESOURCES,Winnie Stefani
ADDITIONAL DEVELOPMENT,Raphael Ahad
ADDITIONAL DEVELOPMENT,Russell Bernau
ADDITIONAL DEVELOPMENT,Chris Black
ADDITIONAL DEVELOPMENT,Rafael Calvo
ADDITIONAL DEVELOPMENT,Dustin Cass
ADDITIONAL DEVELOPMENT,Sungjae Cho
ADDITIONAL DEVELOPMENT,Victor Chong
ADDITIONAL DEVELOPMENT,Jeremy Collins
ADDITIONAL DEVELOPMENT,Krystel Cooper
ADDITIONAL DEVELOPMENT,Eric Covington
ADDITIONAL DEVELOPMENT,Paden Cross
ADDITIONAL DEVELOPMENT,Juan Custer
ADDITIONAL DEVELOPMENT,Joel Deaguero
ADDITIONAL DEVELOPMENT,Terrie Denman
ADDITIONAL DEVELOPMENT,Patrick Doane
ADDITIONAL DEVELOPMENT,Heather Dodson
ADDITIONAL DEVELOPMENT,Ben Earhart
