Role,Name
Gameplay Programmers,Benjamin Foxworthy
Gameplay Programmers,Doug Frazer
Gameplay Programmers,Charles Gast
Gameplay Programmers,Carl Glave
Gameplay Programmers,Omar Gonzalez
Gameplay Programmers,Peter Hodge
Gameplay Programmers,Pat MacKellar
Gameplay Programmers,Robert Moodey
Gameplay Programmers,Adrian Sotelo
Gameplay Programmers,Darren Williams
Gameplay Programmers,Stephen Wong
Mobile Technology Supervisor,Christopher MacDonald
Mobile Programmer,Russell Bernau
Server Programmers,Kelly Chun
Server Programmers,Joseph Cochran
Server Programmers,Joel Deaguero
Server Programmers,Jared Gillis
Server Programmers,Dusan Jan
Server Programmers,Kurtis McCathern
Server Programmers,Jeff Mears
Server Programmers,Tim Murray
Server Programmers,Aimee Pi
Server Programmers,Vinay Sarpeshkar
Shared Technology Programmers,Patrick Doane
Shared Technology Programmers,Ben Earhart
Systems Technology Programmers,Adam Batters
Systems Technology Programmers,Ryan Hanlon
Systems Technology Programmers,R. Blaine Whittle
Tools Team,Dustin Cass
Tools Team,Ian Combs
Tools Team,Christopher Beau Cooper
Tools Team,Steven Dwyer
Tools Team,Jason Johannes
Tools Team,Vinnie Morrison
Tools Team,Pete Sandrene
Tools Team,Craig Steele
Tools Team,John Stiles
Tools Team,Jaeson Welch
UI Designers,Jeff Liu
UI Designers,Laura Sardinha
UI Programmers,Nathan Bonfiglio
UI Programmers,John Mikros
UI Programmers,Serban Oprescu
UI Programmers,Jacob Segal
UI Programmers,Michael Tindal
UI Programmers,Dan Wellman
Macintosh Programmer,Max Rahm
Additional Programming,Erin Catto
PRODUCTION Game Producers,Michael Bybee
PRODUCTION Game Producers,Travis Day
PRODUCTION Game Producers,Shani Edwards
PRODUCTION Game Producers,Tom Ellis
PRODUCTION Game Producers,Ofer Estline
PRODUCTION Game Producers,Stephan Frost
PRODUCTION Game Producers,Marcus Maczynski
PRODUCTION Game Producers,Rainer Mayer
PRODUCTION Game Producers,Thomas Pieracci
PRODUCTION Game Producers,Ryan Schwind
PRODUCTION Game Producers,John Shin
PRODUCTION Game Producers,Eric Thibeau
PRODUCTION Game Producers,Alex Tsang
Localization Producers,Joseph Hsu
Localization Producers,Jaeyang Kwak
Sound Producers,Rhonda Cox
Sound Producers,Jay Maguire
SOUND Sound Design Supervisor,Michael Johnson
Sound Designers,Shawn Bernardo
Sound Designers,Geoffrey Garnett
Sound Designers,Jon Graves
Sound Designers,Lawrence Peacock
Sound Designers,David Rovin
BUSINESS OPERATIONS,Marie Peters
BUSINESS OPERATIONS,Jason Stilwell
SUPPORT Administration,Steven Dowling Jr
Human Resources,Alan Alonzo
Human Resources,Shirelle McFadden
ADDITIONAL DEVELOPMENT,Jestry Ahlswede
ADDITIONAL DEVELOPMENT,Yekaterina Bourykina
ADDITIONAL DEVELOPMENT,Glen Chang
ADDITIONAL DEVELOPMENT,Ken Cheung
ADDITIONAL DEVELOPMENT,Dan Delapena
ADDITIONAL DEVELOPMENT,Evelyn Fredericksen
ADDITIONAL DEVELOPMENT,Bogdan Gabelko
ADDITIONAL DEVELOPMENT,Matt Golins
ADDITIONAL DEVELOPMENT,Arne Olav Hallingstad
ADDITIONAL DEVELOPMENT,Timothy Hamel
ADDITIONAL DEVELOPMENT,Edward Hanes
ADDITIONAL DEVELOPMENT,Barry Hawkins
ADDITIONAL DEVELOPMENT,Mai Igarashi
ADDITIONAL DEVELOPMENT,Jonathan Jacobson
ADDITIONAL DEVELOPMENT,Robert Lin
ADDITIONAL DEVELOPMENT,Kevin Maginnis
ADDITIONAL DEVELOPMENT,Marcos Morin
ADDITIONAL DEVELOPMENT,Jason Morris
ADDITIONAL DEVELOPMENT,Giray Özil
ADDITIONAL DEVELOPMENT,Erika Page
ADDITIONAL DEVELOPMENT,Jose Perez III
ADDITIONAL DEVELOPMENT,Jeremy Seely
ADDITIONAL DEVELOPMENT,Daniel Stahl
ADDITIONAL DEVELOPMENT,Ernst ten Bosch
ADDITIONAL DEVELOPMENT,Quang D. Tran
ADDITIONAL DEVELOPMENT,Rachel Vought
ADDITIONAL DEVELOPMENT,Matthew Williams
"BATTLE.NET Director, Engineering",Matthew Versluys
"Director, Program Management",Aaron Hartwell
Group Leadership,Jason Bell
Group Leadership,Jon DeMidio
Group Leadership,David Eckel
Group Leadership,Patrick Eger
Group Leadership,Brian Fitzgerald
Group Leadership,Mike Hufnagel
Group Leadership,James Hugard
Group Leadership,Mark Kockerbeck
Group Leadership,Robert LaCruise
Group Leadership,Nathan Lyons-Smith
Group Leadership,Eric Matteson
Group Leadership,Melissa Meyer
Group Leadership,Damon Osgood
Group Leadership,Ali Vatani
Group Leadership,John Yaney
Team Leadership,Brian Anger
Team Leadership,Brian Antolin
Team Leadership,Hyojin Bae
Team Leadership,Todd Blank
Team Leadership,Laurent Bourcier
Team Leadership,Shane Cargilo
Team Leadership,Eric Carter
Team Leadership,Kevin Carter
Team Leadership,Pooja Cerny
Team Leadership,Chulwoong Choi
Team Leadership,Iain Davies
Team Leadership,Vinicius De Antoni
Team Leadership,Sarah Doebler
Team Leadership,Thomas DuPont
Team Leadership,Peter R. Elespuru
Team Leadership,Itay Eshet
Team Leadership,Michael Duane Fetterman
Team Leadership,Nir Finkelstein
Team Leadership,Peter Galuardi
Team Leadership,Josh Gunder
Team Leadership,Raphael Hernandez
Team Leadership,Scott Horwath
Team Leadership,Jordan Irwin
Team Leadership,Jake Jung
Team Leadership,Frederick Dayhee Lee
Team Leadership,Robert Meyer
Team Leadership,Breanne Miller
Team Leadership,Calum Mitchell
Team Leadership,Andrew Murphy
Team Leadership,Kevin Newsom
Team Leadership,Don Pattee
Team Leadership,Paulo Pinto
Team Leadership,Russell Pippin
Team Leadership,Bill Randolph
Team Leadership,Paul Roberts
Team Leadership,Ragnar Scheuermann
Team Leadership,Vlad Semenov
Team Leadership,Christophe Thibault
Team Leadership,Mike Yaklin
Battle.net Engineering,Travis Abeyti
Battle.net Engineering,Tae Hyoung Ahn
Battle.net Engineering,Alexander Amerine
Battle.net Engineering,James Ams
Battle.net Engineering,Tom Anderson
Battle.net Engineering,Michael Aversa
Battle.net Engineering,David Balogh
Battle.net Engineering,Nate Barber
Battle.net Engineering,Cord Bartlett
Battle.net Engineering,Woonchang Beck
Battle.net Engineering,Chris Belcher
Battle.net Engineering,Andrew Bellinger
Battle.net Engineering,Ed Beranek
Battle.net Engineering,Daniel Berman
Battle.net Engineering,Matt Bessey
Battle.net Engineering,Dylan Binder
Battle.net Engineering,Theodore Bisson
Battle.net Engineering,Shawn Bracken
Battle.net Engineering,Liv Breeden
Battle.net Engineering,Benjamin Brown
Battle.net Engineering,Nathan Brown
Battle.net Engineering,Joe Broxterman
Battle.net Engineering,Carl Brumm
Battle.net Engineering,Anton Burdukovskiy
Battle.net Engineering,Mark Chandler
Battle.net Engineering,Scott Chaney
Battle.net Engineering,Joshua Chapman
Battle.net Engineering,Robert Cherry
Battle.net Engineering,Heemahn Choe
Battle.net Engineering,Mikyoung Choi
Battle.net Engineering,Seungki Choi
Battle.net Engineering,Damien Chow
Battle.net Engineering,Phil Clay
Battle.net Engineering,Emmett Coakley
Battle.net Engineering,Jackson Coakley
Battle.net Engineering,Matthew Cunningham
Battle.net Engineering,Daniel Dao
Battle.net Engineering,Chris Davila
