Role,Name
DESIGN Game Designers,Jake Miller
DESIGN Game Designers,Craig Morrison
DESIGN Game Designers,Miranda Moyer
DESIGN Game Designers,Major Mummert
DESIGN Game Designers,Stephanie Newland
DESIGN Game Designers,Rob Newns
DESIGN Game Designers,Peter Nott
DESIGN Game Designers,Michael Nuthals
DESIGN Game Designers,Zachariah Owens
DESIGN Game Designers,Julie Palu
DESIGN Game Designers,Ed Piper
DESIGN Game Designers,Alex Ringe
DESIGN Game Designers,Taylor Sanders
DESIGN Game Designers,Ryan Shwayder
DESIGN Game Designers,Luke Sigmund
DESIGN Game Designers,Scott Smith
DESIGN Game Designers,Kurt Sparkuhl
DESIGN Game Designers,Kim Acuff Steiner
DESIGN Game Designers,Paul Sullivan
DESIGN Game Designers,Candace Thomas
DESIGN Game Designers,Allen Vandegrift
DESIGN Game Designers,Matt Villers
DESIGN Game Designers,Rachel Vought
DESIGN Game Designers,Jackie Wiley
DESIGN Game Designers,Jason Zelechoski
Level Designers,Jestry Ahlswede
Level Designers,Matthew Armstrong
Level Designers,Kyle Conlan Aronson
Level Designers,Victor Cortis
Level Designers,Ian Gerdes
Level Designers,Will Harris
Level Designers,Travis Hickman
Level Designers,Travis Inman
Level Designers,Ryan Moore
Level Designers,Kristy Moret
Level Designers,Josh Navarro
Level Designers,Gary Platner
Level Designers,Rhett Torgoley
Level Designers,Sarah Boulian Verrall
Level Designers,Colin Volrath
Level Designers,Jacquelyn Washington
Level Designers,Sara Wons
UI Designers,Casey Graham
UI Designers,Jeff Liu
UI Designers,Ray Ocampo
UI Designers,Crash Reed
Additional Design,Ryan Burns
Additional Design,Skye Chandler
Additional Design,Nathaniel Chapman
Additional Design,Scott Gordon
Additional Design,Matt Goss
Additional Design,Damarcus Holbrook
Additional Design,David Kim
Additional Design,Chris Morris
Additional Design,Chadd Nervig
Additional Design,Zachary Turner
Additional Design,John Yang
Additional Design,Kris Zierhut
Additional Narrative Design,Justin Parker
ENGINEERING Audio Software Engineer,Shawn Bernardo
Automation Software Engineers,Chris Davila
Automation Software Engineers,Sean Hogan
Automation Software Engineers,Xing Jin
Automation Software Engineers,Jeremy Morton
Automation Software Engineers,Almir Sehic
Classic Engineers,Matthew Everett
Classic Engineers,Tim Hume
Classic Engineers,Zoid Kirsch
Classic Engineers,David Lawrence
Classic Engineers,Kurtis McCathern
Classic Engineers,Orlando Salvatore
Classic Engineers,Kevin Vigue
Engine Engineers,Paul DeBerry
Engine Engineers,Jerry Frazier
Engine Engineers,Carl Glave
Engine Engineers,Scott Hartin
Engine Engineers,Sven Knutson
Engine Engineers,John Lytle
Engine Engineers,CJ Ordog
Engine Engineers,Daniel Pageau
Engine Engineers,Max Rahm
Engine Engineers,Alexander Sanoja
Engine Engineers,Caroline Sugianto
Engine Engineers,Matt Yan
Gameplay Engineers,Paden Cross
Gameplay Engineers,Maybri Flores Garcia
Gameplay Engineers,Doug Frazer
Gameplay Engineers,Charles Gast
Gameplay Engineers,Byron Henze
Gameplay Engineers,Peter Hodge
Gameplay Engineers,Jason Kanagaratnam
Gameplay Engineers,Cort Keefer
Gameplay Engineers,Noah Koecher
Gameplay Engineers,Alex Kudebeh
Gameplay Engineers,Christopher MacDonald
Gameplay Engineers,Brandon Meesak
Gameplay Engineers,Veronica Moreno
Gameplay Engineers,Kevin Wingham
Mobile Engineers,Michael Chambers
Mobile Engineers,Jared Hays
Server Engineers,Griffin Aswegan
Server Engineers,Kelly Chun
Server Engineers,Joseph Cochran
Server Engineers,Jared Gillis
Server Engineers,Omar Gonzalez
Server Engineers,N. Hajj
Server Engineers,Dusan Jan
Server Engineers,Steven Lashower
Server Engineers,Jeff Mears
Server Engineers,Aimee Pi
Server Engineers,Vinay Sarpeshkar
Server Engineers,Timothy Talley
Systems Technology Engineers,Adam Batters
Systems Technology Engineers,John Cash
Systems Technology Engineers,Ryan Hanlon
Systems Technology Engineers,Scott Stanfield
Systems Technology Engineers,R. Blaine Whittle
Tools Engineers,Jenny Chu
Tools Engineers,Ian Combs
Tools Engineers,Christopher Beau Cooper
Tools Engineers,Joel Deaguero
Tools Engineers,Steven Dwyer
Tools Engineers,Michael Eads
Tools Engineers,Chris Gearhart
Tools Engineers,Matt Gollob
Tools Engineers,Jason Johannes
Tools Engineers,Elsbeth Larkin
Tools Engineers,Ronald Leask
Tools Engineers,Kristy Mayo
UI Engineers,Nathan Bonfiglio
UI Engineers,Andy Churchill
UI Engineers,Anthony Davis
UI Engineers,Aubrie Healy
UI Engineers,Michael Kemski
UI Engineers,Serban Oprescu
UI Engineers,Ben Slupik
UI Engineers,Michael Valentine
Additional Engineering,William Dewey
Additional Engineering,Robert Moodey
Additional Engineering,Anders Vagner Rostgaard
Additional Engineering,Francesco Tarallo
Additional Engineering,Dan Wellman
PRODUCTION Game Producers,Michael Bybee
PRODUCTION Game Producers,Samuel Cooper
PRODUCTION Game Producers,Zack Donovan
PRODUCTION Game Producers,Tom Ellis
PRODUCTION Game Producers,Ofer Estline
PRODUCTION Game Producers,Kyle Hartline
PRODUCTION Game Producers,Tanya Huang
PRODUCTION Game Producers,Chad Jarrett
PRODUCTION Game Producers,Alex Klontzas
PRODUCTION Game Producers,Angela Li
PRODUCTION Game Producers,Danforth Lincoln
PRODUCTION Game Producers,Holly Longdale
PRODUCTION Game Producers,Jay Maguire
PRODUCTION Game Producers,Calia Schie
PRODUCTION Game Producers,Ryan Schwind
PRODUCTION Game Producers,John Shin
PRODUCTION Game Producers,George Velev
PRODUCTION Game Producers,Terri Wellman
PRODUCTION Game Producers,Gayeong Yoo
Localization Producer,Diego Díaz
Additional Production,Ray Cobo
Additional Production,Travis Day
Additional Production,JJ Rivera
Additional Production,Daniel Stahl
Additional Production,Jason Stilwell
SOUND Sound Designers,Aaron Craft
SOUND Sound Designers,Michael Hill
SOUND Sound Designers,Andrew Holscher
SOUND Sound Designers,Jonas Laster
SOUND Sound Designers,Justin Prymowicz
COMMERCIAL Commercial Leader,Chris Paulson
Business Operations,Jennifer Hauer
Business Operations,Rainer Mayer
Business Operations,Marie Peters
Consumer Marketing,Alexander Mangold
Consumer Marketing,Josh Quinnett
Consumer Marketing,Jessi Sosnovskaya
Consumer Marketing,Deuta Sulprizio
Creative Services,Mike Carrillo
Creative Services,Erik Jensen
Creative Services,Caroline Wu Bonti
Finance,Justin Lane
Finance,Brandon Vu
Global Insights,Michael Brewer
Global Insights,Jennifer Mallett
Global Insights,Robb Steel
Global Insights,Christopher Taylor
Global Insights,Elizabeth Work
Global Publishing,Josh Allen
Global Publishing,Kevin B. Carter
Global Publishing,Anna Ficek-Madej
Global Publishing,Randy Jordan
Global Publishing,Liam Knapp
Global Publishing,Katie Malin
Global Publishing,Steve Perkins
Global Publishing,Kester Robison
Global Publishing,Bethany Stout
Global Publishing,Danielle Vanderlip
Public Relations,Andrew Meyer
Public Relations,Aramis Ramirez
SUPPORT Administrative Support,Rebecca Carmine
SUPPORT Administrative Support,Steven Dowling Jr
Human Resources,Shirelle McFadden
Human Resources,Winnie Stefani
Additional Development,Michael Alcorn
Additional Development,Kyle Anderson
Additional Development,Sarah Benyona
Additional Development,Eric Covington
Additional Development,Alex Creamer
Additional Development,Jon Graves
Additional Development,Luke Herczeg
Additional Development,Alexander Iveroth
Additional Development,Leo Liu
Additional Development,Hale Obernolte
Additional Development,Elliot Roush
Additional Development,Marissa Willis
Additional Development,Amanda Wood
TESTING Test Manager,Ron Gray
Test Leads,Toni Conner
Test Leads,Linny Cooke Saverline
Test Leads,Dustin Distefano
Test Leads,Austin Feeney
Test Leads,Josh Greenfield
Test Leads,Peter Hsu
Test Leads,Scott Johnston
Test Leads,Linda Lozano-Wade
Test Leads,Trevor Page
Test Leads,David Quick
Test Leads,Kevin M. Starr
Test Analysts,Romel Alonzo
Test Analysts,Alex Amurao
Test Analysts,Drew Andersen
Test Analysts,David Anderson
Test Analysts,Ciji Bambrick
Test Analysts,Marlon Barroquillo
Test Analysts,Justice Bentzel
Test Analysts,Renee Brousseau
Test Analysts,Matthew Charles
Test Analysts,Juan Cole
Test Analysts,Sarah Conway
Test Analysts,Lauren Countess
Test Analysts,Chase Culver
Test Analysts,Alex deNoyelles
Test Analysts,Landon Doi
Test Analysts,Tyler Dvorak
Test Analysts,Christopher Ferraro
Test Analysts,Brandon Figueroa
Test Analysts,Andrew Freeman
Test Analysts,Kelli Greenfield
Test Analysts,Herbert Haneke
Test Analysts,Kenneth Hile
Test Analysts,Trevor Hilseth
Test Analysts,Eric Hom
Test Analysts,Shaobo Hou
Test Analysts,Dan Johnson
Test Analysts,Eric Kilbride
Test Analysts,Morgan Kirkpatrick
